gene,custom,cosmic,clinvar-all-cancer,FM-combined,ucsf500v2,civic,broad-target,msk-impact,umich-mioncoseq
AAGAB,,,X,,,,,,
ABCA3,,,X,,,,,,
ABCA5,,,X,,,,,,
ABCB1,,,X,,,X,,,
ABCB11,,,X,,,,,,
ABCB4,,,X,,,,,,
ABCC10,,,,,,X,,,
ABCC11,,,X,,,,,,
ABCC3,,,,,,X,,,
ABCC4,,,X,,,,,,
ABCC9,,,X,,,,,,
ABCE1,,,X,,,,,,
ABCF3,,,X,,,,,,
ABCG2,,,,,,X,,,
ABCG4,,,X,,,,,,
ABI1,,X,,X,,,,,
ABL1,,X,X,X,X,X,X,X,X
ABL2,,X,,X,X,,,,X
ABRAXAS1,,,X,,,,,X,
ACAN,,,X,,,,,,
ACKR3,,X,,,,,,,
ACRV1,,,X,,,,,,
ACSL3,,X,,,,,,,
ACSL6,,X,,X,,,,,
ACTA1,,,,,,X,,,
ACTB,,,X,X,,,,,
ACVR1,,X,X,,X,,,,
ACVR1B,,,X,X,X,,,,
ACVR2A,,X,,,,,,,
ADA,,,X,,,,,,X
ADAMTS3,,,X,,,,,,
ADAT1,,,X,,,,,,
ADGRA2,,,,X,X,,,,
ADRM1,,,X,,,,,,
AEBP1,,,,,,X,,,
AFDN,,,,X,,,,,
AFF1,,X,,X,,,,,
AFF3,,X,,,,,,,
AFF4,,X,,X,,,,,
AGPAT2,,,X,,,,,,
AGR2,,,,,,X,,,
AHRR,,,X,,,,,,
AIFM1,,,X,,,,,,
AIP,,,X,,,,,,
AJUBA,,,,,X,,,,
AK2,,,X,,,,,,
AKAP1,,,X,,,,,,
AKAP9,,X,,,,,,,
AKR1C3,,,X,,,,,,
AKT1,,X,X,X,X,X,X,X,X
AKT2,,X,X,X,X,X,X,X,X
AKT3,,,X,X,X,X,X,X,X
ALCAM,,,,,,X,,,
ALDH1A2,,,,,,X,,,
ALDH2,,X,,,,,,,
ALDH5A1,,,X,,,,,,
ALDH9A1,,,X,,,,,,
ALK,,X,X,X,X,X,X,X,X
ALOX12B,,,,,,,,X,
ALOX5,,,X,,,,,,
ALX3,,,X,,,,,,
AMER1,,X,X,X,X,,,X,
AMFR,,,X,,,,,,
AMZ2,,,X,,,,,,
ANKRD12,,,X,,,,,,
ANKRD30A,,,X,,,,,,
ANO9,,,X,,,,,,
AP2S1,,,X,,,,,,
AP3B1,,,X,,,,,,
APC,,X,X,X,X,X,X,X,X
APH1A,,,,X,,,,,
APOBEC3B,,X,,,,,,,
APOBEC3G,,,,,X,,,,
AR,,X,X,X,X,X,X,X,X
ARAF,,,X,X,X,X,X,X,
ARAP3,,,X,,,,,,
AREG,,,,,,X,,,
ARFRP1,,,,X,X,,,,
ARHGAP20,,,X,,,,,,
ARHGAP26,,X,X,X,,,,,
ARHGAP35,,,X,,X,,,,
ARHGEF12,,X,,X,,,,,
ARHGEF15,,,X,,,,,,
ARHGEF25,,,X,,,,,,
ARHGEF40,,,X,,,,,,
ARID1A,,X,,X,X,X,,X,
ARID1B,,X,,X,X,,,X,
ARID2,,X,,X,X,,,X,
ARID5B,,,,,X,,,X,
ARMC12,,,X,,,,,,
ARNT,,X,,X,,,,,
ARPP21,,,X,,,,,,
ASH2L,,,,,X,,,,
ASIC2,,,X,,,,,,
ASMTL,,,,X,,,,,
ASNA1,,,X,,,,,,
ASNS,,,,,,X,,,
ASPRV1,,,X,,,,,,
ASPSCR1,,X,,,,,,,
ASXL1,,X,,X,X,X,X,X,
ASXL2,,,,,X,,,X,
ATF1,,X,,X,X,,,,
ATG13,,,X,,,,,,
ATG2B,,,X,,,,,,
ATG5,,,,X,,,,,
ATIC,,X,,X,,,,,
ATL3,,,X,,,,,,
ATM,,X,X,X,X,X,X,X,X
ATP1A1,,X,X,,,,,,
ATP2B3,,X,X,,,,,,
ATP2B4,,,X,,,,,,
ATP6AP1,,,X,,,,,,
ATP6V0A1,,,X,,,,,,
ATR,,X,X,X,X,X,X,X,
ATRX,,X,X,X,X,X,,X,
AURKA,,,,X,X,X,X,X,X
AURKB,,,,X,X,,,X,
AXIN1,,X,X,X,X,,,X,
AXIN2,,X,X,,X,,,X,X
AXL,,,,X,X,X,,X,
B2M,,X,X,X,,X,,X,
B3GALT1,,,X,,,,,,
B3GALT2,,,X,,,,,,
B3GALT6,,,X,,,,,,
B4GALT1,,,,,,X,,,
BABAM2,,,X,,,,,,
BACH1,,,,X,,,,,
BAP1,,X,X,X,X,X,X,X,
BARD1,,,X,X,X,,,X,
BAX,,,X,,,,,,
BBC3,,,,,,,,X,
BCL10,,X,X,X,,,,,
BCL11A,,X,,X,,,,,
BCL11B,,X,,X,,,,,
BCL2,,X,,X,X,X,X,X,X
BCL2A1,,,,,X,,,,
BCL2L1,,,,X,X,,,X,
BCL2L11,,,,,,X,,X,
BCL2L12,,,,,X,,,,
BCL2L2,,,,X,X,,,,
BCL3,,X,,X,,,,,
BCL5,,X,,,,,,,
BCL6,,X,,X,X,,,X,
BCL7A,,X,,X,,,,,
BCL9,,X,,X,,,,,
BCL9L,,X,,,,,,,
BCOR,,X,,X,X,X,,X,
BCORL1,,X,,X,X,,,,
BCR,,X,,X,,,,,
BEND5,,,X,,,,,,
BICRAL,,,X,,,,,,
BIRC3,,X,,X,,X,,,
BIRC5,,,,,,X,,,
BIRC7,,,,,,X,,,
BLM,,X,X,X,X,,,X,
BMPER,,,X,,,,,,
BMPR1A,,X,X,,,,,X,
BRAF,,X,X,X,X,X,X,X,X
BRCA1,,X,X,X,X,X,X,X,
BRCA2,,X,X,X,X,X,X,X,X
BRCC3,,,X,,,,,,
BRD2,,,,,,,X,,
BRD3,,X,,,,,X,,
BRD4,,X,,X,X,X,X,X,
BRD7,,,X,,,,,,
BRF2,,,X,,,,,,
BRIP1,,X,X,X,X,,,X,
BRSK1,,,,X,,,,,
BTBD11,,,X,,,,,,
BTBD16,,,X,,,,,,
BTG1,,X,,X,X,,,,
BTG2,,,,X,,,,,
BTK,,X,X,X,X,X,,X,
BTLA,,,,X,,,,,
BUB1,,,X,,,,,,
BUB1B,,X,X,,,,,,
C12orf9,,X,,,,,,,
C15orf65,,X,,,,,,,
C17orf80,,,X,,,,,,
C1GALT1C1,,,X,,,,,,
C1R,,,X,,,,,,
C1S,,,X,,,,,,
C2CD6,,,X,,,,,,
C2orf44,,X,,,,,,,
C3AR1,,,X,,,,,,
C5,,,X,,,,,,
C6orf222,,,X,,,,,,
CABIN1,,,X,,,,,,
CACNA1C,,,X,,,,,,
CACNA1D,,X,X,,,,,,
CACNA1H,,,X,,,,,,
CACNA1S,,,X,,,,,,
CAD,,,,X,,,,,
CADM3,,,X,,,,,,
CADPS,,,X,,,,,,
CALR,,X,X,X,X,X,,,
CAMTA1,,X,,X,,,,,
CAND1,,,X,,,,,,
CANT1,,X,,,,,,,
CAPN6,,,X,,,,,,
CARD11,,X,,X,X,,,X,
CARD14,,,X,,,,,,
CARS,,X,,X,,,,,
CASC5,,X,,,,,,,
CASP10,,,X,,,,,,
CASP8,,X,X,,,X,,X,
CASQ2,,,X,,,,,,
CASR,,,X,,,,,,
CBFA2T3,,X,,X,,,,,
CBFB,,X,,X,X,X,,X,
CBL,,X,X,X,X,,,X,
CBLB,,X,,,X,X,,,
CBLC,,X,,,,X,,,
CBX7,,,X,,,,,,
CBY1,,,X,,,,,,
CCDC171,,,X,,,,,,
CCDC180,,,X,,,,,,
CCDC6,,X,,,,,,,
CCDC71L,,,X,,,,,,
CCL11,,,X,,,,,,
CCM2,,,X,,,,,,
CCNB1IP1,,X,,,,,,,
CCND1,,X,,X,X,X,X,X,
CCND2,,X,,X,X,X,X,X,
CCND3,,X,,X,X,X,X,X,
CCNE1,,X,,X,X,X,X,X,
CCT6B,,,,X,,,,,
CCT7,,,X,,,,,,
CD19,,,X,,,,,,
CD2,,,X,,,,,,
CD22,,,,X,,,,,
CD244,,,X,,,,,,
CD27,,,X,,,,,,
CD274,,X,,X,X,X,,X,
CD276,,,,,,,,X,
CD2AP,,,X,,,,,,
CD36,,,,X,,,,,
CD40LG,,,X,,,,,,
CD44,,,,,,X,,,
CD52,,,,,,,,,X
CD70,,,,,,,,,X
CD74,,X,,,,,,,
CD79A,,X,,X,X,,,,
CD79B,,X,,X,X,,,X,
CDA,,,,,,,,,X
CDC42,,,,,X,,,,
CDC73,,X,X,X,X,,,X,
CDH1,,X,X,X,X,X,X,X,X
CDH11,,X,,,,,,,
CDH3,,,X,,,,,,
CDK12,,X,,X,X,X,X,X,
CDK2,,,,,,X,,,
CDK4,,X,X,X,X,X,X,X,
CDK6,,X,,X,X,X,X,X,
CDK8,,,,X,X,,,X,
CDKN1A,,,,X,X,X,X,X,X
CDKN1B,,X,X,X,X,X,X,X,X
CDKN1C,,,X,,,,,,
CDKN2A,,X,X,X,X,X,X,X,X
CDKN2AIP,,,X,,,,,,
CDKN2B,,,,X,X,X,X,X,
CDKN2C,,X,,X,X,,,X,
CDX2,,X,,X,,X,,,
CEBPA,,X,X,X,X,X,X,,
CEP89,,X,,,,,,,
CERS3,,,X,,,,,,
CFAP43,,,X,,,,,,
CFAP65,,,X,,,,,,
CFLAR,,,,,,X,,,
CFTR,,,X,,,,,,
CHAC1,,,X,,,,,,
CHAF1B,,,X,,,,,,
CHCHD7,,X,,,,,,,
CHD1,,,,,X,,,,
CHD2,,,X,X,X,,,,
CHD4,,X,,X,X,,,,
CHD5,,,,,X,,,,
CHEK1,,,X,X,X,,,X,
CHEK2,,X,X,X,X,X,,X,
CHGB,,,X,,,,,,
CHIC1,,,X,,,,,,
CHIC2,,X,,X,,,,,
CHN1,,,,X,,,,,
CIC,,X,,X,X,,,X,
CIITA,,X,,X,,,,,
CKAP5,,,X,,,,,,
CLCN7,,,X,,,,,,
CLDN18,,,,,X,,,,
CLIP1,,X,,,,,,,
CLP1,,X,,X,,,,,
CLPTM1L,,,X,,,,,,
CLTC,,X,,X,,,,,
CLTCL1,,X,,X,,,,,
CNBP,,X,,,,,,,
CNGA1,,,X,,,,,,
CNNM1,,,X,,,,,,
CNOT3,,X,,,X,,,,
CNOT9,,,X,,,,,,
CNTFR,,,X,,,,,,
CNTRL,,X,,X,,,,,
COG1,,,X,,,,,,
COL1A1,,X,X,X,X,,,,
COL24A1,,,X,,,,,,
COL2A1,,X,,,X,,,,
COL5A1,,,X,,,,,,
COL7A1,,,X,,,,,,
COPS6,,,X,,,,,,
CORIN,,,X,,,,,,
CORO6,,,X,,,,,,
COX6C,,X,,,,,,,
CPA6,,,X,,,,,,
CPAMD8,,,X,,,,,,
CPS1,,,,X,,,,,
CPSF7,,,X,,,,,,
CPXM2,,,X,,,,,,
CR2,,,X,,,,,,
CRBN,,,,,,X,,,
CRCT1,,,,,X,,,,
CREB1,,X,,,X,,,,
CREB3,,,X,,,,,,
CREB3L1,,X,,X,,,,,
CREB3L2,,X,,X,,,,,
CREBBP,,X,X,X,X,X,X,X,
CRKL,,,,X,X,,X,X,
CRLF2,,X,X,X,,,,X,
CRNKL1,,,X,,,,,,
CRTC1,,X,,,,,,,
CRTC3,,X,X,,,,,,
CRX,,,X,,,,,,
CSF1,,,,X,,X,,,
CSF1R,,,X,X,X,X,,X,X
CSF3R,,X,X,X,X,X,,,
CSMD2,,,X,,,,,,
CTAG1B,,,,,,X,,,
CTAG2,,,,,,X,,,
CTC1,,,X,,,,,,
CTCF,,X,,X,X,,,X,
CTLA4,,,,,,X,,X,
CTNNA1,,,X,X,X,,,,
CTNNB1,,X,X,X,X,X,X,X,X
CTRB1,,,X,,,,,,
CTRC,,,X,,,,,,
CTSE,,,X,,,,,,
CTTNBP2,,,X,,,,,,
CUL3,,,,X,X,,,X,
CUX1,,X,,X,X,,,,
CXCR4,,X,,X,X,X,,,
CYLD,,X,X,X,X,,,,
CYP2A6,,,X,,,,,,
CYP2A7,,,X,,,,,,
CYP2D6,,,,,,X,,,X
CYSLTR1,,,X,,,,,,
DAXX,,X,,X,,,,X,
DAZAP1,,,X,,,,,,
DCC,,,X,,X,X,,,
DCHS2,,,X,,,,,,
DCK,,,,,,,,,X
DCLRE1C,,,X,,,,,,
DCTN1,,X,,,,,,,
DCUN1D1,,,,,,,,X,
DDB2,,X,X,,,,,,
DDIT3,,X,,X,X,X,,,
DDR2,,X,X,X,X,X,X,X,
DDX10,,X,,X,,,,,
DDX3X,,X,,X,X,,,,
DDX41,,,X,,X,X,,,
DDX43,,,,,,X,,,
DDX5,,X,,,,,,,
DDX50,,,X,,,,,,
DDX6,,X,,X,,,,,
DDX60,,,X,,,,,,
DDX60L,,,X,,,,,,
DEAF1,,,X,,,,,,
DEFA1,,,,,,X,,,
DEK,,X,,X,,,,,
DGAT2L6,,,X,,,,,,
DGCR6L,,,X,,,,,,
DGKH,,,,,X,,,,
DHCR24,,,X,,,,,,
DHDH,,,X,,,,,,
DHFR,,,X,,,,,,
DHX29,,,X,,,,,,
DICER1,,X,X,X,X,,,X,
DIS3,,,,,X,,,X,
DIS3L,,,X,,,,,,
DIS3L2,,,X,,,,,,
DKC1,,,X,,,,,,
DKK1,,,,,,X,,,
DLAT,,,X,,,,,,
DLC1,,,X,,,,,,
DLL1,,,X,,,,,,
DNAH3,,,X,,,,,,
DNAH8,,,X,,,,,,
DNAH9,,,X,,,,,,
DNAJB1,,X,,,X,,,,
DNAJC6,,,X,,,,,,
DNM2,,X,,X,,,,,
DNMT1,,,,,,X,,X,X
DNMT3A,,X,X,X,X,X,X,X,
DNMT3B,,,,,,,,X,
DOCK2,,,X,,,,,,
DOCK5,,,X,,,,,,
DOCK8,,,X,,,,,,
DOT1L,,,,X,X,,,X,
DPH7,,,X,,,,,,
DPPA4,,,X,,,,,,
DPYD,,,X,,,X,,,X
DROSHA,,X,,,,,,,
DSCAML1,,,X,,,,,,
DSP,,,X,,,,,,
DUSP2,,,,X,X,,,,
DUSP22,,,,X,,,,,
DUSP4,,,,,X,,,,
DUSP6,,,,,X,X,,,
DUSP9,,,,X,,,,,
DUX4,,,,,,X,,,
DUX4L1,,X,,,,,,,
DYM,,,X,,,,,,
DYNC1I1,,,,,X,,,,
E2F1,,,X,,,,,,
E2F3,,,,,,,,X,
EBF1,,X,,X,X,,,,
ECSCR,,,,,,X,,,
ECT2L,,X,,X,,,,,
EDNRB,,,,,X,,,,
EED,,,,X,,,,X,
EFCAB6,,,X,,,,,,
EFNA2,,,,,,X,,,
EGF,,,,,,X,,,
EGFL7,,,,,,,,X,
EGFR,,X,X,X,X,X,X,X,X
EGR1,,,,,X,,,,
EHBP1,,,X,,,,,,
EIF1AX,,,,,X,X,,X,
EIF2AK4,,,X,,,,,,
EIF3E,,X,,,,,,,
EIF4A2,,X,,X,,,,,
EIF4EBP1,,,,,,X,,,
EIF4G3,,,X,,,,,,
ELAC2,,,X,,,,,,
ELANE,,,X,,,,,,
ELF3,,,,,X,,,,
ELF4,,X,,X,,,,,
ELK4,,X,,,,,,,
ELL,,X,,X,,,,,
ELN,,X,,X,,,,,
ELOA2,,,X,,,,,,
ELOC,,,X,,,,,,
ELP4,,,X,,,,,,
EMILIN1,,,X,,,,,,
EML4,,X,,X,,,,,
EMSY,,,,X,X,,,,
ENOX1,,,X,,,,,,
ENPP7,,,X,,,,,,
ENTPD3,,,X,,,,,,
EP300,,X,X,X,X,,,X,
EPAS1,,X,,,,X,,,
EPCAM,,,X,,X,X,,X,
EPHA2,,,X,,X,,,,
EPHA3,,,,X,X,,X,X,X
EPHA5,,,X,X,X,,,X,X
EPHA6,,,,,,,,,X
EPHA7,,,,X,X,,,,
EPHB1,,,,X,X,,,X,
EPHB2,,,X,,,,,,
EPHB4,,,,,,X,,,
EPOR,,,X,X,X,,,,
EPS15,,X,,X,,,,,
EPSTI1,,,X,,,,,,
ERBB2,,X,X,X,X,X,X,X,X
ERBB3,,X,X,X,X,X,X,X,X
ERBB4,,X,X,X,X,X,X,X,X
ERBIN,,,X,,,,,,
ERC1,,X,,,,,,,
ERCC1,,,X,,X,X,,,X
ERCC2,,X,X,,X,X,X,X,
ERCC3,,X,X,,,,,X,
ERCC4,,X,X,,,,,X,
ERCC5,,X,X,,,X,,X,
ERCC6,,,X,,,,,,
EREG,,,,,,X,,,
ERG,,X,,X,X,X,X,X,X
ERRFI1,,,,X,X,X,X,,
ESPL1,,,,,X,,,,
ESR1,,X,X,X,X,X,X,X,X
ESR2,,,,,X,,,,
ETNK1,,X,,,,,,,
ETS1,,,,X,X,,,,
ETS2,,,,,,X,,,
ETV1,,X,,X,,,X,X,
ETV4,,X,,X,,X,X,,
ETV5,,X,,X,,,X,,
ETV6,,X,X,X,X,X,X,X,
EWSR1,,X,,X,X,X,X,X,
EXOC2,,,X,,,,,,
EXOSC6,,,,X,,,,,
EXT1,,X,X,,,,,,
EXT2,,X,X,,,,,,
EYA1,,,X,,,,,,
EZH1,,,,,X,,,,
EZH2,,X,X,X,X,X,X,X,X
EZR,,X,,,,,,,
F2,,,X,,,,,,
F5,,,X,,,,,,
FAF1,,,,X,,,,,
FAH,,,X,,,,,,
FAM131B,,X,,,,,,,
FAM13C,,,X,,,,,,
FAM160A2,,,X,,,,,,
FAM189A2,,,X,,,,,,
FAM46C,,X,,X,X,,,X,
FAM83C,,,X,,,,,,
FANCA,,X,X,X,X,,,X,
FANCB,,,X,,,,,,
FANCC,,X,X,X,X,X,,X,
FANCD2,,X,X,X,,,,,
FANCE,,X,X,X,X,,,,
FANCF,,X,X,X,X,,,,
FANCG,,X,X,X,X,,,,
FANCI,,,X,,,,,,
FANCL,,,X,X,X,,,,
FANCM,,,X,,,,,,
FAS,,X,X,X,,,,,
FASLG,,,X,,,,,,
FAT1,,X,,X,X,,,X,
FAT3,,,,,X,,,,
FAT4,,X,,,,,,,
FAXC,,,X,,,,,,
FBN2,,,X,,,,,,
FBXL5,,,X,,,,,,
FBXO11,,X,,X,,,,,
FBXO18,,,X,,,,,,
FBXO31,,,,X,,,,,
FBXW7,,X,X,X,X,X,X,X,X
FCGR2A,,,,,,X,,,
FCGR2B,,X,,X,,X,,,
FCGR3A,,,,,,X,,,
FCN1,,,X,,,,,,
FCN3,,,X,,,,,,
FCRL4,,X,,X,,,,,
FES,,X,,,,,,,
FEV,,X,,X,,,,,
FGD2,,,X,,,,,,
FGF10,,,,X,X,,,,
FGF13,,,,,,X,,,
FGF14,,,,X,X,,,,
FGF19,,,,X,X,,,X,
FGF2,,,,,,X,,,
FGF23,,,,X,X,,,,
FGF3,,,,X,X,X,,X,
FGF4,,,,X,X,,,X,
FGF6,,,,X,X,,,,
FGFR1,,X,X,X,X,X,X,X,X
FGFR1OP,,X,,X,,,,,
FGFR2,,X,X,X,X,X,X,X,X
FGFR3,,X,X,X,X,X,X,X,X
FGFR4,,X,X,X,X,,,X,X
FH,,X,X,X,X,,,X,
FHIT,,X,,X,,,,,X
FIBP,,,X,,,,,,
FIP1L1,,X,,,,,,,
FKBP9,,,,,,,,,X
FLCN,,X,X,X,X,,X,X,X
FLI1,,X,X,X,,X,,,
FLT1,,,X,X,X,,,X,
FLT3,,X,X,X,X,X,X,X,X
FLT4,,X,X,X,X,,,X,
FLVCR2,,,X,,,,,,
FLYWCH1,,,,X,,,,,
FN1,,,X,,,,,,
FNBP1,,X,,X,,,,,
FNTB,,,,,,X,,,
FOLR1,,,X,,,,,,
FOLR2,,,,,,,,,X
FOS,,,,,,X,,,
FOXA1,,X,,,X,,,X,
FOXL2,,X,X,X,X,X,,X,
FOXM1,X,,,,,,,,
FOXO1,,X,,X,X,,,,
FOXO3,,X,,X,,,,,
FOXO4,,X,,X,,,,,
FOXP1,,X,,X,X,X,,X,
FOXP3,,,,,,X,,,
FPR1,,,X,,,,,,
FREM2,,,X,,,,,,
FRS2,,,,X,X,,,,
FSTL3,,X,,X,,,,,
FUBP1,,X,X,X,X,,,X,
FUS,,X,X,X,X,,,,
FYN,,,,,X,,,,
G6PC,,,X,,,,,,
G6PC3,,,X,,,,,,
GAB2,,,,,X,,,,
